1;Рас-эль-Хайма,РасэльХайма,Рас эль Хайма;{"name":"Рас-эль-Хайма","lat":25.78953,"lon":55.9432,"country":"AE","timezone":"Asia/Dubai","population":115949, "capital":"false", "continent":"Asia"}
2;Дубай;{"name":"Дубай","lat":25.0657,"lon":55.17128,"country":"AE","timezone":"Asia/Dubai","population":1137347, "capital":"false", "continent":"Asia"}
3;Шарджа;{"name":"Шарджа","lat":25.33737,"lon":55.41206,"country":"AE","timezone":"Asia/Dubai","population":543733, "capital":"false", "continent":"Asia"}
4;Фуджейра;{"name":"Фуджейра","lat":25.11641,"lon":56.34141,"country":"AE","timezone":"Asia/Dubai","population":62415, "capital":"false", "continent":"Asia"}
5;Эль-Айн,ЭльАйн,Эль Айн;{"name":"Эль-Айн","lat":24.19167,"lon":55.76056,"country":"AE","timezone":"Asia/Dubai","population":408733, "capital":"false", "continent":"Asia"}
6;Ajman;{"name":"Ajman","lat":25.41111,"lon":55.43504,"country":"AE","timezone":"Asia/Dubai","population":226172, "capital":"false", "continent":"Asia"}
7;Абу-Даби,АбуДаби,Абу Даби;{"name":"Абу-Даби","lat":24.46667,"lon":54.36667,"country":"AE","timezone":"Asia/Dubai","population":603492, "capital":"true", "continent":"Asia"}
8;Таликан,Талукан;{"name":"Таликан","lat":36.73605,"lon":69.53451,"country":"AF","timezone":"Asia/Kabul","population":64256, "capital":"false", "continent":"Asia"}
9;Шеберган;{"name":"Шеберган","lat":36.66757,"lon":65.7529,"country":"AF","timezone":"Asia/Kabul","population":55641, "capital":"false", "continent":"Asia"}
10;Сари-Пуль,СариПуль,Сари Пуль;{"name":"Сари-Пуль","lat":36.21544,"lon":65.93249,"country":"AF","timezone":"Asia/Kabul","population":52121, "capital":"false", "continent":"Asia"}
11;Пули-Хумри,ПулиХумри,Пули Хумри;{"name":"Пули-Хумри","lat":35.94458,"lon":68.71512,"country":"AF","timezone":"Asia/Kabul","population":56369, "capital":"false", "continent":"Asia"}
12;Меймене;{"name":"Меймене","lat":35.92139,"lon":64.78361,"country":"AF","timezone":"Asia/Kabul","population":75900, "capital":"false", "continent":"Asia"}
13;Мазари-Шариф,МазариШариф,Мазари Шариф;{"name":"Мазари-Шариф","lat":36.70904,"lon":67.11087,"country":"AF","timezone":"Asia/Kabul","population":303282, "capital":"false", "continent":"Asia"}
14;Кундуз;{"name":"Кундуз","lat":36.72895,"lon":68.857,"country":"AF","timezone":"Asia/Kabul","population":161902, "capital":"false", "continent":"Asia"}
15;Хост;{"name":"Хост","lat":33.33951,"lon":69.92041,"country":"AF","timezone":"Asia/Kabul","population":96123, "capital":"false", "continent":"Asia"}
16;Ташкурган;{"name":"Ташкурган","lat":36.69736,"lon":67.69826,"country":"AF","timezone":"Asia/Kabul","population":64933, "capital":"false", "continent":"Asia"}
17;Ханабад;{"name":"Ханабад","lat":36.6825,"lon":69.11556,"country":"AF","timezone":"Asia/Kabul","population":71531, "capital":"false", "continent":"Asia"}
18;Кандагар;{"name":"Кандагар","lat":31.61332,"lon":65.71013,"country":"AF","timezone":"Asia/Kabul","population":391190, "capital":"false", "continent":"Asia"}
19;Кабул;{"name":"Кабул","lat":34.52813,"lon":69.17233,"country":"AF","timezone":"Asia/Kabul","population":3043532, "capital":"true", "continent":"Asia"}
20;Джелалабад;{"name":"Джелалабад","lat":34.42647,"lon":70.45153,"country":"AF","timezone":"Asia/Kabul","population":200331, "capital":"false", "continent":"Asia"}
21;Герат;{"name":"Герат","lat":34.34817,"lon":62.19967,"country":"AF","timezone":"Asia/Kabul","population":272806, "capital":"false", "continent":"Asia"}
22;Газни;{"name":"Газни","lat":33.55391,"lon":68.42096,"country":"AF","timezone":"Asia/Kabul","population":141000, "capital":"false", "continent":"Asia"}
23;Гардез;{"name":"Гардез","lat":33.59744,"lon":69.22592,"country":"AF","timezone":"Asia/Kabul","population":103601, "capital":"false", "continent":"Asia"}
24;Чарикар;{"name":"Чарикар","lat":35.01361,"lon":69.17139,"country":"AF","timezone":"Asia/Kabul","population":53676, "capital":"false", "continent":"Asia"}
25;Bamyan;{"name":"Bamyan","lat":34.82156,"lon":67.82734,"country":"AF","timezone":"Asia/Kabul","population":61863, "capital":"false", "continent":"Asia"}
26;Балх,Вазирабад;{"name":"Балх","lat":36.75635,"lon":66.8972,"country":"AF","timezone":"Asia/Kabul","population":114883, "capital":"false", "continent":"Asia"}
27;Баглан;{"name":"Баглан","lat":36.13068,"lon":68.70829,"country":"AF","timezone":"Asia/Kabul","population":108449, "capital":"false", "continent":"Asia"}
28;Базарак;{"name":"Базарак","lat":35.31292,"lon":69.51519,"country":"AF","timezone":"Asia/Kabul","population":65000, "capital":"false", "continent":"Asia"}
29;Корча;{"name":"Корча","lat":40.61861,"lon":20.78083,"country":"AL","timezone":"Europe/Tirane","population":58259, "capital":"false", "continent":"Europe"}
30;Эльбасан;{"name":"Эльбасан","lat":41.1125,"lon":20.08222,"country":"AL","timezone":"Europe/Tirane","population":100903, "capital":"false", "continent":"Europe"}
31;Влёра;{"name":"Влёра","lat":40.46667,"lon":19.48972,"country":"AL","timezone":"Europe/Tirane","population":89546, "capital":"false", "continent":"Europe"}
32;Тирана;{"name":"Тирана","lat":41.3275,"lon":19.81889,"country":"AL","timezone":"Europe/Tirane","population":374801, "capital":"true", "continent":"Europe"}
33;Шкодер;{"name":"Шкодер","lat":42.06828,"lon":19.51258,"country":"AL","timezone":"Europe/Tirane","population":88245, "capital":"false", "continent":"Europe"}
34;Fier-Cifci,FierCifci,Fier Cifci;{"name":"Fier-Cifci","lat":40.71667,"lon":19.56667,"country":"AL","timezone":"Europe/Tirane","population":60995, "capital":"false", "continent":"Europe"}
35;Фиери;{"name":"Фиери","lat":40.72389,"lon":19.55611,"country":"AL","timezone":"Europe/Tirane","population":56297, "capital":"false", "continent":"Europe"}
36;Дуррес;{"name":"Дуррес","lat":41.32306,"lon":19.44139,"country":"AL","timezone":"Europe/Tirane","population":122034, "capital":"false", "continent":"Europe"}
37;Ереван;{"name":"Ереван","lat":40.18111,"lon":44.51361,"country":"AM","timezone":"Asia/Yerevan","population":1093485, "capital":"true", "continent":"Asia"}
38;Кировакан,Ванадзор;{"name":"Кировакан","lat":40.80456,"lon":44.4939,"country":"AM","timezone":"Asia/Yerevan","population":101098, "capital":"false", "continent":"Asia"}
39;Гюмри;{"name":"Гюмри","lat":40.7942,"lon":43.84528,"country":"AM","timezone":"Asia/Yerevan","population":148381, "capital":"false", "continent":"Asia"}
40;Уиже;{"name":"Уиже","lat":-7.60874,"lon":15.06131,"country":"AO","timezone":"Africa/Luanda","population":60008, "capital":"false", "continent":"Africa"}
