1;Объединённые Арабские Эмираты,ОАЭ;{"name":"Объединённые Арабские Эмираты", "duplicateName" : "false" }
2;Нигерия;{"name":"Нигерия", "duplicateName" : "false" }
3;Эфиопия;{"name":"Эфиопия", "duplicateName" : "false" }
4;Гана;{"name":"Гана", "duplicateName" : "false" }
5;Алжир;{"name":"Алжир", "duplicateName" : "true" }
6;Иордания;{"name":"Иордания", "duplicateName" : "false" }
7;Нидерланды,Голландия;{"name":"Нидерланды", "duplicateName" : "false" }
8;Андорра;{"name":"Андорра", "duplicateName" : "false" }
9;Турция;{"name":"Турция", "duplicateName" : "false" }
10;Мадагаскар;{"name":"Мадагаскар", "duplicateName" : "false" }
11;Самоа;{"name":"Самоа", "duplicateName" : "false" }
12;Эритрея;{"name":"Эритрея", "duplicateName" : "false" }
13;Казахстан;{"name":"Казахстан", "duplicateName" : "false" }
14;Парагвай;{"name":"Парагвай", "duplicateName" : "false" }
15;Греция;{"name":"Греция", "duplicateName" : "false" }
16;Туркмения;{"name":"Туркмения", "duplicateName" : "false" }
17;Ирак;{"name":"Ирак", "duplicateName" : "false" }
18;Азербайджан;{"name":"Азербайджан", "duplicateName" : "false" }
19;Мали;{"name":"Мали", "duplicateName" : "false" }
20;Центральноафриканская Республика,ЦАР;{"name":"Центральноафриканская Республика", "duplicateName" : "false" }
21;Таиланд,Тайланд;{"name":"Таиланд", "duplicateName" : "false" }
22;Бруней;{"name":"Бруней", "duplicateName" : "false" }
23;Гамбия;{"name":"Гамбия", "duplicateName" : "false" }
24;Сент-Китс и Невис;{"name":"Сент-Китс и Невис", "duplicateName" : "false" }
25;Ливан;{"name":"Ливан", "duplicateName" : "false" }
26;Сербия;{"name":"Сербия", "duplicateName" : "false" }
27;Белиз;{"name":"Белиз", "duplicateName" : "false" }
28;Германия;{"name":"Германия", "duplicateName" : "false" }
29;Швейцария;{"name":"Швейцария", "duplicateName" : "false" }
30;Гвинея-Бисау,Гвинея Бисау;{"name":"Гвинея-Бисау", "duplicateName" : "false" }
31;Киргизия;{"name":"Киргизия", "duplicateName" : "false" }
32;Колумбия;{"name":"Колумбия", "duplicateName" : "false" }
33;Республика Конго,Конго;{"name":"Республика Конго", "duplicateName" : "false" }
34;Бразилия;{"name":"Бразилия", "duplicateName" : "false" }
35;Словакия;{"name":"Словакия", "duplicateName" : "false" }
36;Барбадос;{"name":"Барбадос", "duplicateName" : "false" }
37;Бельгия;{"name":"Бельгия", "duplicateName" : "false" }
38;Венгрия;{"name":"Венгрия", "duplicateName" : "false" }
39;Бурунди;{"name":"Бурунди", "duplicateName" : "false" }
40;Румыния;{"name":"Румыния", "duplicateName" : "false" }
41;Аргентина;{"name":"Аргентина", "duplicateName" : "false" }
42;Лихтенштейн;{"name":"Лихтенштейн", "duplicateName" : "false" }
43;Мальта;{"name":"Мальта", "duplicateName" : "false" }
44;Польша;{"name":"Польша", "duplicateName" : "false" }
45;Ватикан;{"name":"Ватикан", "duplicateName" : "false" }
