1;Абу-Даби,Абу Даби;{"name":"Абу-Даби", "country":"Объединённые Арабские Эмираты", "genCountry":"Объединённых Арабских Эмиратов", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
2;Абуджа;{"name":"Абуджа", "country":"Нигерия", "genCountry":"Нигерии", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
3;Аддис-Абеба,Аддис Абеба;{"name":"Аддис-Абеба", "country":"Эфиопия", "genCountry":"Эфиопии", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"4"}
4;Аккра;{"name":"Аккра", "country":"Гана", "genCountry":"Ганы", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
5;Алжир;{"name":"Алжир", "country":"Алжир", "genCountry":"Алжира", "continent":"Африка", "duplicateName" : "true", "facts":[], "complexity":"3"}
6;Амман;{"name":"Амман", "country":"Иордания", "genCountry":"Иордании", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"4"}
7;Амстердам;{"name":"Амстердам", "country":"Нидерланды", "genCountry":"Нидерландов", "continent":"Европа", "duplicateName" : "false", "facts":["В Амстердаме большинство жителей города передвигаются на велосипеде.", "В Амстердаме есть кошачий корабль, на котором живут бездомные животные."], "complexity":"1"}
8;Андорра-ла-Велья;{"name":"Андорра-ла-Велья", "country":"Андорра", "genCountry":"Андорры", "continent":"Европа", "duplicateName" : "false", "facts":[], "complexity":"4"}
9;Анкара;{"name":"Анкара", "country":"Турция", "genCountry":"Турции", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
10;Антананариву;{"name":"Антананариву", "country":"Мадагаскар", "genCountry":"Мадагаскара", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
11;Апиа;{"name":"Апиа", "country":"Самоа", "genCountry":"Самоа", "continent":"Австралия и Океания", "duplicateName" : "false", "facts":[], "complexity":"5"}
12;Асмэра;{"name":"Асмэра", "country":"Эритрея", "genCountry":"Эритреи", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
13;Астана;{"name":"Астана", "country":"Казахстан", "genCountry":"Казахстана", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"2"}
14;Асунсьон;{"name":"Асунсьон", "country":"Парагвай", "genCountry":"Парагвая", "continent":"Южная Америка", "duplicateName" : "false", "facts":[], "complexity":"5"}
15;Афины;{"name":"Афины", "country":"Греция", "genCountry":"Греции", "continent":"Европа", "duplicateName" : "false", "facts":["Именно Афины считаются родиной театра."], "complexity":"1"}
16;Ашхабад;{"name":"Ашхабад", "country":"Туркмения", "genCountry":"Туркмении", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
17;Багдад;{"name":"Багдад", "country":"Ирак", "genCountry":"Ирака", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
18;Баку;{"name":"Баку", "country":"Азербайджан", "genCountry":"Азербайджана", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
19;Бамако;{"name":"Бамако", "country":"Мали", "genCountry":"Мали", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
20;Банги;{"name":"Банги", "country":"Центральноафриканская Республика", "genCountry":"Центральноафриканской Республики", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
21;Бангкок,банков;{"name":"Бангкок", "country":"Таиланд", "genCountry":"Таиланда", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"3"}
22;Бандар-Сери-Бегаван;{"name":"Бандар-Сери-Бегаван", "country":"Бруней", "genCountry":"Брунея", "continent":"Азия", "duplicateName" : "false", "facts":[], "complexity":"5"}
23;Банжул;{"name":"Банжул", "country":"Гамбия", "genCountry":"Гамбии", "continent":"Африка", "duplicateName" : "false", "facts":[], "complexity":"5"}
